"n","algorithm","missingness","perc_missing","time","precision","recall","f1","shd","time_sd","precision_sd","recall_sd","f1_sd","shd_sd"
500,"GES","MAR",0.3,0.0105999999999767,0.317081007504782,0.409605238586663,0.352067376454407,1.35520249971334,0.0027162065066795,0.124712475909227,0.120392988416837,0.117063234705753,0.464852274185148
500,"GES","MCAR",0.3,0.013099999998667,0.248814493373067,0.379568365357839,0.298471759650558,1.59573430307796,0.00296085573291371,0.0989552553974582,0.126686680094153,0.111396507173135,0.483056594686537
500,"GES","MNAR",0.3,0.0101999999991676,0.311091102870825,0.406706128065261,0.351114549999108,1.36813322521991,0.00214993539878098,0.183066287598643,0.194395171896965,0.189904378629836,0.463761119156485
500,"GES","oracle",0.3,0.0104999999995925,0.799983294930876,0.865825527871968,0.82875638575886,0.292666879617344,0.0017159383568274,0.134226428740814,0.127019977968621,0.120634089865162,0.201643310898396
500,"GS","MAR",0.3,0.0312999999980093,0.762111111111111,0.753915458581093,0.75089529245027,0.367605091159271,0.00912931785115355,0.106949470781353,0.111792392222779,0.0783484558740951,0.140056967259828
500,"GS","MCAR",0.3,0.0304999999993015,0.749357864357864,0.688269497272593,0.713460239901256,0.411877586122168,0.00859263250336887,0.111683093736593,0.0871233703840436,0.0779732168134558,0.121956879419084
500,"GS","MNAR",0.3,0.0321000000003551,0.779575164200551,0.748329254508821,0.761090782337571,0.368279686143463,0.0065226102491522,0.099905232237517,0.109471910998875,0.0966707109971969,0.143005963322204
500,"GS","oracle",0.3,0.0523000000001048,0.771158319954585,0.816036693039789,0.789281345376181,0.317324979114453,0.0604833310358099,0.123109998473589,0.10224230622647,0.100112109505424,0.146685059521367
500,"HC","MAR",0.3,0.0703999999990629,0.106281536283328,0.667135944436254,0.182637862287439,5.87693783478304,0.0101893190274196,0.0296083112738162,0.0939255966540463,0.0469890887907959,1.38950752688177
500,"HC","MCAR",0.3,0.0668999999994412,0.108061993708107,0.673947024423805,0.185370162175141,5.86687240978263,0.00615449248684697,0.0266562832880195,0.113792434232734,0.0420900419743566,1.35602009330324
500,"HC","MNAR",0.3,0.0670999999987544,0.105004673437063,0.664828935082805,0.180446302963228,5.86991252641407,0.00853033801448821,0.026677376890924,0.100864742320587,0.0420284505482468,1.39301827918868
500,"HC","oracle",0.3,0.0102999999988242,0.837748506571087,0.902492194538634,0.865546868116026,0.231370583321048,0.00182878222889276,0.0951409400323723,0.078328772968565,0.0695313078730652,0.131925040504679
500,"MMHC","MAR",0.3,0.0164999999993597,0.789735149551373,0.794427277343686,0.786718893100079,0.337815060527135,0.00535931173079733,0.12231753610241,0.111359406563967,0.0941287759581046,0.175599227972159
500,"MMHC","MCAR",0.3,0.0158999999992375,0.835541924685147,0.815970580044883,0.824111447645282,0.274040329582125,0.0029981475781814,0.0955858242874867,0.089585765071381,0.0848986726998154,0.13800678424483
500,"MMHC","MNAR",0.3,0.0165999999997439,0.838857379589645,0.797721902796206,0.814859309360463,0.279394810555801,0.00497102716930274,0.10466717489168,0.111641377235344,0.0966140048792214,0.143537445278534
500,"MMHC","oracle",0.3,0.0144000000007509,0.89479605706857,0.854167903418677,0.871428434722687,0.204206676822776,0.00241292814132883,0.0696242317378295,0.0949577858128361,0.0680020657652882,0.1070730545486
500,"PC","MAR",0.3,0.0160000000018044,0.741229847569815,0.803233885367012,0.764637046376272,0.41203302373581,0.00923760430681557,0.112864870777137,0.108616147335561,0.0881889824791729,0.156872277878301
500,"PC","MCAR",0.3,0.0190000000002328,0.717197118293893,0.814136435860894,0.755069413403201,0.430289072354088,0.00639444203200706,0.11243030151362,0.112372128044845,0.0816927038408523,0.146135643963165
500,"PC","MNAR",0.3,0.0159000000006927,0.741963684824255,0.808481448719839,0.765686997770416,0.413192294461644,0.00626187760411741,0.12404208005776,0.113824623241203,0.0876440166020382,0.176965007347831
500,"PC","oracle",0.3,0.0137999999991735,0.854792009118096,0.871988009238783,0.857686823777049,0.216036283519256,0.00599629515234507,0.0939927290685336,0.117113186041532,0.0827433528196569,0.12061436402903
500,"RSMAX2","MAR",0.3,0.0638000000006286,0.727641987087264,0.765878257735843,0.741078859997722,0.417979245499369,0.0662986508988902,0.124680529824052,0.11294479884314,0.100113342077933,0.197311273615197
500,"RSMAX2","MCAR",0.3,0.066299999999319,0.81701794281511,0.82585293298606,0.819929176781212,0.280458319000115,0.0756645374155747,0.0840952277502064,0.0866281985390319,0.076501992444026,0.126836304766965
500,"RSMAX2","MNAR",0.3,0.0622000000010303,0.793137473007442,0.800494389568693,0.794304363312972,0.324566628990778,0.0621070759969497,0.0990621967932552,0.0962411251873255,0.086878250153091,0.147986137292384
500,"RSMAX2","oracle",0.3,0.0274999999986903,0.905168945812168,0.871431061313414,0.885372752037714,0.181680361033302,0.00514781507040367,0.0778274781138221,0.102930953480091,0.0775914521602282,0.121393552556889
1000,"EM","MAR",0.3,2.80290000000095,0.758240566989845,0.893811047225908,0.818660820754518,0.349986698773076,0.0874737420907907,0.100519634971345,0.113667451552872,0.0974072248158619,0.180479141165532
1000,"EM","MCAR",0.3,2.92160000000076,0.782126835078209,0.908440676855538,0.838351937652183,0.323955886448146,0.117997363435334,0.137692528111837,0.0987204056542113,0.1161436223869,0.261384175706381
1000,"EM","MNAR",0.3,2.86470000000118,0.753819029373231,0.905811047225908,0.820326753798758,0.36274318148312,0.109879782792675,0.0847545640507964,0.0843686674502997,0.0724081189614405,0.165063874497892
1000,"EM","oracle",0.3,0.0505999999979394,0.872705292228619,0.936838616148214,0.90234502839016,0.154837256540043,0.0566376396237126,0.102205668148675,0.0784117717979386,0.0848772257970256,0.116063379973425
